otu	statistic	p.value	parameter	method	WM	WMR	CWM	p.value.adj
Acetatifactor (OTU 138)	24.869146608315123	3.978628865587623e-6	2	Kruskal-Wallis rank sum test	0	0.001	0	0.0012811184947192145
Lachnospiraceae (OTU 42)	20.779513487206863	3.074581275344657e-5	2	Kruskal-Wallis rank sum test	0.009	0	0	0.0019396092108464416
Lachnospiraceae (OTU 70)	21.46630029882514	2.180982177678361e-5	2	Kruskal-Wallis rank sum test	0.003	0.006	0	0.0019396092108464416
Acetatifactor (OTU 79)	20.456121680445147	3.6141786537511335e-5	2	Kruskal-Wallis rank sum test	0.007	0.002	0	0.0019396092108464416
Lachnospiraceae (OTU 94)	20.76543140975551	3.096305913426558e-5	2	Kruskal-Wallis rank sum test	0.002	0	0	0.0019396092108464416
Lachnospiraceae (OTU 110)	21.214794961791362	2.4732374083536066e-5	2	Kruskal-Wallis rank sum test	0.003	0	0	0.0019396092108464416
Lachnospiraceae (OTU 83)	19.404699409761502	6.11396659699103e-5	2	Kruskal-Wallis rank sum test	0	0.011	0.004	0.0028124246346158733
Ruminococcaceae (OTU 59)	18.762636927212917	8.42840038520532e-5	2	Kruskal-Wallis rank sum test	0.017	0	0	0.0033924311550451417
Butyricicoccus (OTU 56)	17.96767586961061	1.2542056665437046e-4	2	Kruskal-Wallis rank sum test	0.005	0.001	0	0.004487269162523032
Lachnospiraceae (OTU 62)	16.81480517681165	2.232088699324889e-4	2	Kruskal-Wallis rank sum test	0	0.009	0	0.007187325611826143
Peptostreptococcaceae (OTU 12)	15.974263219407192	3.398073870002561e-4	2	Kruskal-Wallis rank sum test	0.003	0.001	0.0335	0.009947088964916587
Lachnospiraceae (OTU 133)	15.780068728522364	3.7445670683690217e-4	2	Kruskal-Wallis rank sum test	0	0	0	0.010047921633456875
Lachnospiraceae (OTU 47)	15.481336777369368	4.347808753219584e-4	2	Kruskal-Wallis rank sum test	0.008	0	0	0.010769187834897739
Acetatifactor (OTU 78)	14.858080752928238	5.937570218188573e-4	2	Kruskal-Wallis rank sum test	0	0.022	0	0.013656411501833717
Lachnospiraceae (OTU 84)	14.061590959369463	8.842281152548254e-4	2	Kruskal-Wallis rank sum test	0.002	0	0	0.01779509081950336
Acetatifactor (OTU 165)	14.16382313352847	8.401655797819494e-4	2	Kruskal-Wallis rank sum test	0.001	0	0	0.01779509081950336
Lachnospiraceae (OTU 63)	13.820058642568764	9.977285413731178e-4	2	Kruskal-Wallis rank sum test	0	0.001	0	0.018898152371890818
Ruminococcaceae (OTU 65)	13.604891029579273	0.0011110547220250092	2	Kruskal-Wallis rank sum test	0	0	0.003	0.019875534471780722
Porphyromonadaceae (OTU 14)	12.935849177173392	0.0015524443525196708	2	Kruskal-Wallis rank sum test	0.115	0	0	0.02613949158465805
Ruminococcaceae (OTU 50)	12.748674257006464	0.0017047494511733508	2	Kruskal-Wallis rank sum test	0.001	0	0	0.02613949158465805
Lachnospiraceae (OTU 116)	12.767923079242207	0.0016884209437776593	2	Kruskal-Wallis rank sum test	0.001	0	0	0.02613949158465805
Lachnospiraceae (OTU 20)	12.331953935917529	0.0020996660557722883	2	Kruskal-Wallis rank sum test	0.065	0.027	0.003	0.030731475907212584
Lachnospiraceae (OTU 81)	11.851368762492598	0.0026699797756908217	2	Kruskal-Wallis rank sum test	0	0	0	0.03737971685967151
Lachnospiraceae (OTU 46)	11.736332485333067	0.0028280545477855166	2	Kruskal-Wallis rank sum test	0.002	0.008	0	0.03794306518278901
Lachnospiraceae (OTU 185)	11.549999999999942	0.0031041976586493997	2	Kruskal-Wallis rank sum test	0	0	0	0.039982065843404274
Ruminococcaceae (OTU 27)	11.325046144166075	0.0034737413323950007	2	Kruskal-Wallis rank sum test	0.014	0	0	0.04083541267635559
Erysipelotrichaceae (OTU 39)	11.281105303289852	0.0035509054501178775	2	Kruskal-Wallis rank sum test	0	0	0.001	0.04083541267635559
Oscillibacter (OTU 119)	11.306447729801143	0.0035061950357289586	2	Kruskal-Wallis rank sum test	0.001	0.001	0	0.04083541267635559
Lachnospiraceae (OTU 121)	11.023965856861485	0.004038092191260493	2	Kruskal-Wallis rank sum test	0	0	0	0.043342189519529284
Acetatifactor (OTU 206)	11.023965856861485	0.004038092191260493	2	Kruskal-Wallis rank sum test	0	0	0	0.043342189519529284
Lachnospiraceae (OTU 127)	10.715522206150224	0.004711442742630256	2	Kruskal-Wallis rank sum test	0.001	0	0	0.048641664739605434
Ruminococcaceae (OTU 153)	10.66418091784515	0.004833954259836565	2	Kruskal-Wallis rank sum test	0	0	0	0.048641664739605434
Clostridium (OTU 51)	10.59782189345145	0.00499703297978087	2	Kruskal-Wallis rank sum test	0	0.001	0	0.04875892786331637
Lachnospiraceae (OTU 86)	10.281765644999734	0.005852520695057986	2	Kruskal-Wallis rank sum test	0	0	0	0.05542681364143152
Lachnospiraceae (OTU 135)	9.982994511865188	0.006795482295273891	2	Kruskal-Wallis rank sum test	0	0	0	0.06251843711651979
Pseudoflavonifractor (OTU 69)	9.711273120430832	0.0077843765514129595	2	Kruskal-Wallis rank sum test	0.007	0.003	0	0.06962692359874925
Enterobacteriaceae (OTU 2)	9.252533583521803	0.009791243709338562	2	Kruskal-Wallis rank sum test	0.003	0.003	0.0325	0.08521028309208155
Lachnospiraceae (OTU 157)	8.959560706967242	0.011335902772793465	2	Kruskal-Wallis rank sum test	0	0	0	0.09605686033788145
Lachnospiraceae (OTU 68)	8.604885713796767	0.01353545341679618	2	Kruskal-Wallis rank sum test	0	0.005	0.0045000000000000005	0.11175425641559925
Lachnospiraceae (OTU 64)	8.54082510122865	0.013976016149781256	2	Kruskal-Wallis rank sum test	0	0.002	0	0.11250693000573912
Lactobacillus (OTU 9)	8.143160974616322	0.017050419229606855	2	Kruskal-Wallis rank sum test	0.003	0.003	0.001	0.13071988076031923
Porphyromonadaceae (OTU 194)	8.147853736089063	0.017010459353254778	2	Kruskal-Wallis rank sum test	0	0	0	0.13071988076031923
Lachnospiraceae (OTU 152)	7.865940312648019	0.019585414335640153	2	Kruskal-Wallis rank sum test	0	0	0	0.14666287014130533
Lachnospiraceae (OTU 75)	7.7959118194498025	0.02028333005740913	2	Kruskal-Wallis rank sum test	0	0	0	0.14843709723831228
Enterorhabdus (OTU 109)	7.741031330461511	0.020847616262086338	2	Kruskal-Wallis rank sum test	0	0.001	0	0.14917627636426226
Lachnospiraceae (OTU 316)	7.516666666666629	0.023322578965357235	2	Kruskal-Wallis rank sum test	0	0	0	0.16325805275750066
Lachnospiraceae (OTU 146)	7.27015341973768	0.026381910556902685	2	Kruskal-Wallis rank sum test	0	0	0	0.18074415317707798
Lachnospiraceae (OTU 34)	7.136561171845709	0.028204306895104676	2	Kruskal-Wallis rank sum test	0	0	0	0.18920389208799387
Lachnospiraceae (OTU 162)	6.991255465334219	0.03032970351400807	2	Kruskal-Wallis rank sum test	0	0	0	0.19930948023491016
Lachnospiraceae (OTU 102)	6.738715621659945	0.03441172908891647	2	Kruskal-Wallis rank sum test	0	0	0	0.2216115353326221
Lachnospiraceae (OTU 33)	6.474225637594435	0.03927713174944899	2	Kruskal-Wallis rank sum test	0	0	0	0.23862710232684103
Lachnospiraceae (OTU 71)	6.5370015732172915	0.03806344955335389	2	Kruskal-Wallis rank sum test	0	0	0	0.23862710232684103
Clostridium (OTU 126)	6.504771332607156	0.03868181576279277	2	Kruskal-Wallis rank sum test	0	0.001	5e-4	0.23862710232684103
Ruminococcaceae (OTU 147)	6.313367865567418	0.042566661210814094	2	Kruskal-Wallis rank sum test	0	0	0	0.2538234242570766
Bacteroides (OTU 1)	6.149604642981266	0.04619875998109757	2	Kruskal-Wallis rank sum test	0.182	0.247	0.015000000000000001	0.27047274025297124
Lachnospiraceae (OTU 16)	5.949094976883337	0.051070538785260425	2	Kruskal-Wallis rank sum test	0.004	0.016	0.0075	0.29365559801524743
Lachnospiraceae (OTU 90)	5.799943754586533	0.055024767480047185	2	Kruskal-Wallis rank sum test	0	0	0	0.3108416689223718
Lachnospiraceae (OTU 74)	5.719032806716403	0.057296461943290994	2	Kruskal-Wallis rank sum test	0.008	0.004	0.004	0.3180941507886155
Lachnospiraceae (OTU 167)	5.50447467969737	0.06378499273764436	2	Kruskal-Wallis rank sum test	0	0	0	0.34811470612748274
Lachnospiraceae (OTU 181)	5.35844566207288	0.06861646002087994	2	Kruskal-Wallis rank sum test	0	0	0	0.36824166877872233
Ruminococcaceae (OTU 37)	5.3116659151683345	0.07024030709494598	2	Kruskal-Wallis rank sum test	0	0.002	0	0.3707767030257804
Lachnospiraceae (OTU 26)	5.176615024543277	0.07514711809120059	2	Kruskal-Wallis rank sum test	0.015	0.02	0	0.37214336831543976
Lachnospiraceae (OTU 111)	5.116670052824032	0.07743355800352318	2	Kruskal-Wallis rank sum test	0	0	0	0.37214336831543976
Lachnospiraceae (OTU 140)	5.1525264364558945	0.07605768463604708	2	Kruskal-Wallis rank sum test	0	0	0	0.37214336831543976
Lachnospiraceae (OTU 164)	5.116670052824032	0.07743355800352318	2	Kruskal-Wallis rank sum test	0	0	0	0.37214336831543976
Bacteria (OTU 310)	5.116670052824032	0.07743355800352318	2	Kruskal-Wallis rank sum test	0	0	0	0.37214336831543976
Burkholderia (OTU 403)	5.116670052824032	0.07743355800352318	2	Kruskal-Wallis rank sum test	0	0	0	0.37214336831543976
Ruminococcaceae (OTU 100)	5.036776212832483	0.08058940365469985	2	Kruskal-Wallis rank sum test	0	0	0	0.3816145290707846
Lachnospiraceae (OTU 174)	4.999140323864564	0.08212028946522608	2	Kruskal-Wallis rank sum test	0	0	0	0.3832280175043884
Lachnospiraceae (OTU 32)	4.657593556668933	0.09741288589823921	2	Kruskal-Wallis rank sum test	0.008	0.006	0	0.4416003941404035
Prevotella (OTU 191)	4.6304706360398304	0.09874294527363059	2	Kruskal-Wallis rank sum test	0	0	0	0.4416003941404035
Dialister (OTU 320)	4.6304706360398304	0.09874294527363059	2	Kruskal-Wallis rank sum test	0	0	0	0.4416003941404035
Acetatifactor (OTU 55)	4.49794927235748	0.10550735253930345	2	Kruskal-Wallis rank sum test	0	0.002	0	0.46538859613227
Olsenella (OTU 114)	4.389183436532534	0.11140403645413371	2	Kruskal-Wallis rank sum test	0	0	0	0.48475810457069
Lachnospiraceae (OTU 244)	4.307336182336202	0.11605766594679573	2	Kruskal-Wallis rank sum test	0	0	0	0.498274245798243
Lachnospiraceae (OTU 193)	4.2532260767554115	0.11924047359772393	2	Kruskal-Wallis rank sum test	0	0	0	0.5052030591903566
Lachnospiraceae (OTU 120)	4.064946854162531	0.13101107372768064	2	Kruskal-Wallis rank sum test	0	0	0	0.5478644901339372
Akkermansia (OTU 3)	1.5674519375060518	0.4567011828719586	2	Kruskal-Wallis rank sum test	0.031	0.116	0.062	0.5581884923325606
Turicibacter (OTU 5)	2.9395946572396645	0.2299720892246352	2	Kruskal-Wallis rank sum test	0.012	0.021	0.05	0.5581884923325606
Porphyromonadaceae (OTU 6)	2.36241616904673	0.30690774405417454	2	Kruskal-Wallis rank sum test	0.002	0	0.001	0.5581884923325606
Porphyromonadaceae (OTU 7)	3.470578318208786	0.17634919993637357	2	Kruskal-Wallis rank sum test	0.001	0	0	0.5581884923325606
Lachnospiraceae (OTU 11)	3.2180445016802985	0.2000831495986404	2	Kruskal-Wallis rank sum test	0.065	0.027	0.002	0.5581884923325606
Porphyromonadaceae (OTU 15)	1.559093385370862	0.4586138572086657	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Blautia (OTU 19)	3.896601625412861	0.1425160273870534	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 21)	1.7055964309527192	0.426220604643195	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 24)	1.8495867482795663	0.39661336118595025	2	Kruskal-Wallis rank sum test	0.013	0.02	0.001	0.5581884923325606
Lachnospiraceae (OTU 31)	3.3231960487506735	0.18983537602458334	2	Kruskal-Wallis rank sum test	0.001	0.002	0.005	0.5581884923325606
Clostridiales (OTU 35)	3.209549616417605	0.2009347986830071	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 36)	1.4671852262405776	0.48018078377676793	2	Kruskal-Wallis rank sum test	0.012	0.008	0.013000000000000001	0.5581884923325606
Bacteroidales (OTU 38)	2.2869066275416268	0.31871649117190026	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 48)	2.2676436625458227	0.3218010339936346	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 49)	3.2180478251906606	0.20008281710970618	2	Kruskal-Wallis rank sum test	0.003	0.011	0.007	0.5581884923325606
