otu	statistic	p.value	parameter	method	C	WM	WMR	p.value.adj
Ruminococcaceae (OTU 65)	37.792228306655424	6.216155840513136e-9	2	Kruskal-Wallis rank sum test	0.0455	0	0	1.172262811585917e-6
Ruminococcaceae (OTU 85)	37.788691033320845	6.227159689699426e-9	2	Kruskal-Wallis rank sum test	0.020749999999999998	0	0	1.172262811585917e-6
Lachnospiraceae (OTU 134)	37.788691033320845	6.227159689699426e-9	2	Kruskal-Wallis rank sum test	0.00775	0	0	1.172262811585917e-6
Clostridium (OTU 186)	37.799304840370745	6.194200287529064e-9	2	Kruskal-Wallis rank sum test	0.0022500000000000003	0	0	1.172262811585917e-6
Lachnospiraceae (OTU 32)	36.017261494339024	1.509909925080284e-8	2	Kruskal-Wallis rank sum test	0.18175000000000002	0	0	1.4212027169818172e-6
Ruminococcaceae (OTU 53)	36.47642535342548	1.2001758254146184e-8	2	Kruskal-Wallis rank sum test	0.0395	0	0	1.4212027169818172e-6
Lachnospiraceae (OTU 80)	36.24404173037141	1.3480510447072153e-8	2	Kruskal-Wallis rank sum test	0.01125	0	0	1.4212027169818172e-6
Clostridium (OTU 146)	36.610343256379146	1.1224447464416998e-8	2	Kruskal-Wallis rank sum test	0.006	0	0	1.4212027169818172e-6
Ruminococcaceae (OTU 27)	35.262145650668174	2.2025326848801713e-8	2	Kruskal-Wallis rank sum test	0.14275	0	0	1.658507111714769e-6
Ruminococcaceae (OTU 108)	35.305325656711034	2.155489654469344e-8	2	Kruskal-Wallis rank sum test	0.013000000000000001	0	0	1.658507111714769e-6
Lachnospiraceae (OTU 79)	34.84867947448939	2.7083538278024894e-8	2	Kruskal-Wallis rank sum test	0.002	0	0	1.6994920269460622e-6
Blautia (OTU 147)	34.86436577241632	2.6871948901012766e-8	2	Kruskal-Wallis rank sum test	0.003	0	0	1.6994920269460622e-6
Lachnospiraceae (OTU 159)	34.44637610186091	3.311802797795455e-8	2	Kruskal-Wallis rank sum test	0.00275	0	0	1.7872954089959857e-6
Ruminococcaceae (OTU 167)	34.43962984723854	3.3229927922900134e-8	2	Kruskal-Wallis rank sum test	0.002	0	0	1.7872954089959857e-6
