otu	statistic	p.value	parameter	method	C	WM	WMR	p.value.adj
Lachnospiraceae (OTU 31)	20.3263061411549	3.8565476589248034e-5	2	Kruskal-Wallis rank sum test	0.04075	0	0	0.0018689423270174046
Clostridiales (OTU 56)	20.3263061411549	3.8565476589248034e-5	2	Kruskal-Wallis rank sum test	0.16925	0	0	0.0018689423270174046
Bacteria (OTU 64)	20.3263061411549	3.8565476589248034e-5	2	Kruskal-Wallis rank sum test	0.079	0	0	0.0018689423270174046
Ruminococcaceae (OTU 65)	20.3263061411549	3.8565476589248034e-5	2	Kruskal-Wallis rank sum test	0.012750000000000001	0	0	0.0018689423270174046
Ruminococcaceae (OTU 85)	20.3263061411549	3.8565476589248034e-5	2	Kruskal-Wallis rank sum test	0.017	0	0	0.0018689423270174046
Clostridiales (OTU 89)	20.3263061411549	3.8565476589248034e-5	2	Kruskal-Wallis rank sum test	0.02	0	0	0.0018689423270174046
Ruminococcaceae (OTU 108)	20.3263061411549	3.8565476589248034e-5	2	Kruskal-Wallis rank sum test	0.02	0	0	0.0018689423270174046
Lachnospiraceae (OTU 117)	20.3263061411549	3.8565476589248034e-5	2	Kruskal-Wallis rank sum test	0.0225	0	0	0.0018689423270174046
Lachnospiraceae (OTU 129)	20.344954128440364	3.820756351330611e-5	2	Kruskal-Wallis rank sum test	0.020499999999999997	0	0	0.0018689423270174046
Firmicutes (OTU 150)	20.344954128440364	3.820756351330611e-5	2	Kruskal-Wallis rank sum test	0.003	0	0	0.0018689423270174046
Clostridiales (OTU 158)	20.344954128440364	3.820756351330611e-5	2	Kruskal-Wallis rank sum test	0.011250000000000001	0	0	0.0018689423270174046
Lachnospiraceae (OTU 159)	20.344954128440364	3.820756351330611e-5	2	Kruskal-Wallis rank sum test	0.0075	0	0	0.0018689423270174046
Clostridiales (OTU 196)	20.344954128440364	3.820756351330611e-5	2	Kruskal-Wallis rank sum test	0.004999999999999999	0	0	0.0018689423270174046
