genus	method	WM	C	WMR	CWM	RM	FRM	WMC	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM
Akkermansia	Kruskal-Wallis rank sum test	0.006500000000000001	0.1995	0.075	0.05650000000000001	0.325	0.429	0.001	0.023076923076923078	0.3419750067513562	0.10851726395289411	0.7312481285332609	0.05158524215809894	0.8898121529383773	0.023076923076923078	0.7458880556650549	0.031107248705327908	0.023076923076923078	0.031107248705327908	0.458029031176549	0.07881055149642346	0.07646601652831997	0.9592760180995477	0.27271404869758276	0.05158524215809894	0.10648657966512487	0.3158081829398855	0.023076923076923078	0.07646601652831997
Alistipes	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.001	0.1898174074563941	0.3329810910710984	NA	0.29220969603477653	NA	NA	0.6429172517228883	0.29220969603477653	0.480110311842315	0.43073792704157654	0.5013680719075431	NA	NA	NA	0.6429172517228883	0.22765873797418693	9.73564519480766e-4	0.03567557513529431	0.017593402346750962	0.1411689994235253	0.1898174074563941
Anaerostipes	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.12951786784679298	0.18093772533526406	NA	0.18093772533526406	NA	NA	0.18093772533526406	NA	NA	NA	0.36851154038277795	NA	NA	NA	NA	0.4480179658240387	NA	NA	NA	NA	NA
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2130358228945842	0.2130358228945842	0.2130358228945842	0.2130358228945842	0.2130358228945842	NA	NA	NA	NA	NA	0.6055766163353464
Bacteroides	Kruskal-Wallis rank sum test	0.6080000000000001	0.0055	0.55	0.492	0.4215	0.001	0.456	0.011493163149968783	0.6617683482061556	0.011493163149968783	0.13837063837195382	0.4851758098348041	0.385360307615049	0.13837063837195382	0.5581283220287154	0.32469555256292454	0.8567239424617661	0.011493163149968783	0.09298504910577593	0.011493163149968783	0.09298504910577593	0.09298504910577593	0.6617683482061556	0.24643538435210463	0.7692307692307693	0.8567239424617661	0.7932840289640712	0.09298504910577593
Bifidobacterium	Kruskal-Wallis rank sum test	0	0.006	0	0.011	0.0055	0.017	0	2.2323584575422874e-4	0.4909910885899625	2.893251009566512e-4	2.893251009566512e-4	0.5888520703079052	3.4602816075819025e-4	2.893251009566512e-4	0.8132516780482317	3.2316424282502194e-4	0.4696007654102572	0.0023187847164117936	0.5819905912591086	0.0029494174709601712	0.5888520703079052	0.6177696561912169	1	0.03454593322978557	0.5819905912591086	0.043435251178873584	0.03454593322978557	0.06065707530313779
Blautia	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0	0.018	0.40552064357474066	0.7370905757058565	0.5366485165396089	0.8986653689858168	0.17828795166352393	0.6489666122615252	0.36934870535756326	0.5864720362516485	0.36934870535756326	0.17741943933076657	0.32942233236158946	0.36934870535756326	0.32942233236158946	0.2069906495933245	0.5199388807620972	0.36934870535756326	0.022799080870990522	0.25189558718122174	0.052120371121154606	0.027308023240526277	0.088224172255207
Butyricicoccus	Kruskal-Wallis rank sum test	0	0.0015	0.002	0	0.001	0	0	7.275712666910059e-4	7.275712666910059e-4	0.6797695214007102	NA	7.275712666910059e-4	7.275712666910059e-4	7.275712666910059e-4	0.6797695214007102	0.548505902507328	7.275712666910059e-4	0.042874544346511084	0.42314655340106755	0.42314655340106755	0.042874544346511084	0.548505902507328	NA	0.10103916246048229	0.10103916246048229	NA	0.09588290867704284	0.42314655340106755
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0	0.001	0.001	0	0	0	0	0.21923755851681578	0.11051509137426088	0.4632404210523269	0.11215567788228706	0.011802288218375064	0.004676929044043777	0.9717856851184073	0.29479007638048094	0.11555034731933816	0.11051509137426088	0.3102169684606064	0.11215567788228706	0.11051509137426088	NA	0.29479007638048094	1	0.4560124929274411	0.29479007638048094	0.11215567788228706	0.9800900841938484	0.40226610997113055
Clostridium IV	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0	0.06650161856940558	NA	0.08669911986956057	0.2039689130140767	0.38059045934012514	0.2714065880028961	0.08669911986956057	0.7053071469554504	0.1343183196047831	0.5954988709456972	0.048454088636505716	0.719998175180177	0.06650161856940558	0.3439246332699571	0.5599937576315015	NA	0.37766653516874504	NA	0.5599937576315015	0.42289910588326035	0.3164495027998702
