genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	WMN	CN	p.value.adj
Phenylobacterium	65.99999999999996	6.9503042487142e-13	5	Kruskal-Wallis rank sum test	0	0	0	0.002	0	0	4.7957099316127984e-11
Bacteroides	24.391300027207095	1.825659460317247e-4	5	Kruskal-Wallis rank sum test	0.063	0.067	0.729	0.038	0.102	0.108	0.004199016758729668
Enterococcus	25.18153846153878	1.285256438494936e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.004199016758729668
Lactobacillus	23.553702552646854	2.6445480317187147e-4	5	Kruskal-Wallis rank sum test	0.036000000000000004	0.028999999999999998	0.007	0.015	0.032	0.053000000000000005	0.004561845354714783
Blautia	20.977446396712168	8.180458535237578e-4	5	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0	0	0.01128903277862786
Akkermansia	19.300703151488516	0.0016893115532345977	5	Kruskal-Wallis rank sum test	0.018	0.008	0.117	0.003	0	0	0.01402854235953089
Bifidobacterium	19.52854885996029	0.0015315668217772767	5	Kruskal-Wallis rank sum test	0.003	0.001	0	0.003	0.006	0.0115	0.01402854235953089
Turicibacter	19.95102231864249	0.0012764553605703211	5	Kruskal-Wallis rank sum test	0.062	0.043	0.019	0.061	0.06	0.095	0.01402854235953089
Unclassified	19.114724948251848	0.00182980987298229	5	Kruskal-Wallis rank sum test	0.009000000000000001	0.015	0	0.007	0.019	0.023	0.01402854235953089
Porphyromonadaceae Unclassified	18.48320747479651	0.002397974659049457	5	Kruskal-Wallis rank sum test	0.493	0.49	0.021	0.635	0.483	0.4245	0.016546025147441256
Bacteroidales Unclassified	18.014993239378327	0.0029276724744481076	5	Kruskal-Wallis rank sum test	0.03	0.018	0	0.018	0.02	0.013000000000000001	0.018364490976083583
Enterobacteriaceae Unclassified	17.121927980291563	0.004274268922002087	5	Kruskal-Wallis rank sum test	0.001	0	0.023	0.006	0.001	0.001	0.024577046301512
Acetatifactor	14.738408415712328	0.011540557753340532	5	Kruskal-Wallis rank sum test	0.003	0.003	0	0	0.001	0.002	0.06125372961388436
Clostridiales Unclassified	14.373071822539037	0.013405468262480813	5	Kruskal-Wallis rank sum test	0.03	0.033	0	0.02	0.027999999999999997	0.0245	0.06606980786508401
Alistipes	12.968145286116588	0.02367911691992829	5	Kruskal-Wallis rank sum test	0.048	0.088	0	0.106	0.117	0.097	0.10892393783167012
Dialister	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.11384792694684161
Peptostreptococcaceae Unclassified	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.11384792694684161
Romboutsia	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.11384792694684161
Oscillibacter	11.664840393636812	0.03968032498183795	5	Kruskal-Wallis rank sum test	0.002	0.002	0	0.006	0.002	0.0025	0.13689712118734093
Ruminococcus	11.66560281695674	0.039668487650952496	5	Kruskal-Wallis rank sum test	0.004	0.005	0	0.006	0.007	0.0115	0.13689712118734093
Atopostipes	10.720000000000208	0.057223042318845514	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.17166912695653655
Coriobacteriaceae Unclassified	10.810333237028853	0.05527293467532007	5	Kruskal-Wallis rank sum test	0	0	0	0	0.001	0	0.17166912695653655
Ruminococcaceae Unclassified	10.782296366415977	0.05587140601499966	5	Kruskal-Wallis rank sum test	0.012	0.011	0	0.005	0.012	0.015	0.17166912695653655
Lachnospiraceae Unclassified	10.329184255856449	0.06642750183984907	5	Kruskal-Wallis rank sum test	0.085	0.099	0.012	0.061	0.055	0.053500000000000006	0.19097906778956605
Veillonella	10.010642531387091	0.07493425576265621	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.20681854590493112
Clostridium XlVa	9.653468193152754	0.08567104957022027	5	Kruskal-Wallis rank sum test	0.002	0.001	0	0.004	0	0	0.22163882418256023
