otu	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
Bacteroides (OTU 1)	4.526315789473685	0.10402147666803759	2	Kruskal-Wallis rank sum test	0.061	0.08399999999999999	0.05	0.5295846900380075
Enterobacteriaceae (OTU 2)	2.1768292682926793	0.3367499425993928	2	Kruskal-Wallis rank sum test	5e-4	0	5e-4	0.5295846900380075
Lachnospiraceae (OTU 4)	6.005019037729317	0.04966228342115565	2	Kruskal-Wallis rank sum test	0.006	0.0105	0.0265	0.5295846900380075
Turicibacter (OTU 5)	5.06601172009652	0.07941993592641373	2	Kruskal-Wallis rank sum test	0.041	0.0675	0.0205	0.5295846900380075
Porphyromonadaceae (OTU 10)	2.2923976608187147	0.3178426498642421	2	Kruskal-Wallis rank sum test	0.079	0.067	0.10350000000000001	0.5295846900380075
Lactobacillus (OTU 13)	2.733506044905008	0.2549333801035475	2	Kruskal-Wallis rank sum test	0.0175	0.0225	0.0155	0.5295846900380075
Porphyromonadaceae (OTU 15)	2.3936066373840874	0.30215857437800425	2	Kruskal-Wallis rank sum test	0	0	0.027	0.5295846900380075
Lachnospiraceae (OTU 16)	3.199156118143464	0.20198172437363734	2	Kruskal-Wallis rank sum test	0	0.001	5e-4	0.5295846900380075
Lachnospiraceae (OTU 17)	2.239446870451241	0.32637004460023106	2	Kruskal-Wallis rank sum test	0.002	0.001	0.003	0.5295846900380075
Lachnospiraceae (OTU 20)	7.018939393939392	0.02991277306581679	2	Kruskal-Wallis rank sum test	0.001	5e-4	0.004	0.5295846900380075
Porphyromonadaceae (OTU 21)	4.1826790633608795	0.12352156389973683	2	Kruskal-Wallis rank sum test	0.07300000000000001	0.0505	0.0425	0.5295846900380075
Clostridium XlVa (OTU 22)	4.566908504635225	0.10193150077579313	2	Kruskal-Wallis rank sum test	5e-4	0	0.0015	0.5295846900380075
Lachnospiraceae (OTU 24)	7.304826862539355	0.025928476609589152	2	Kruskal-Wallis rank sum test	0.002	0.001	0.0105	0.5295846900380075
Lachnospiraceae (OTU 26)	5.742262540021346	0.05663482105173722	2	Kruskal-Wallis rank sum test	0.0015	5e-4	0.013999999999999999	0.5295846900380075
Bifidobacterium (OTU 28)	2.9456030587417428	0.22928224363761787	2	Kruskal-Wallis rank sum test	0.0075	0.008	0.0025	0.5295846900380075
Lachnospiraceae (OTU 29)	9.247631935047364	0.00981526975651719	2	Kruskal-Wallis rank sum test	0	0	0.0015	0.5295846900380075
Lachnospiraceae (OTU 31)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 36)	8.653876426603702	0.0132079254947071	2	Kruskal-Wallis rank sum test	0	0	0.0035	0.5295846900380075
Bacteroidales (OTU 38)	2.1411988911988877	0.3428029640875434	2	Kruskal-Wallis rank sum test	0.031	0.0315	0.021	0.5295846900380075
Lachnospiraceae (OTU 42)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 44)	6.574634655532359	0.03735392343650142	2	Kruskal-Wallis rank sum test	0.014499999999999999	0.014	0.009000000000000001	0.5295846900380075
Lachnospiraceae (OTU 46)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 49)	7.664611360239165	0.021659617862266105	2	Kruskal-Wallis rank sum test	0.001	0	0.0025	0.5295846900380075
Ruminococcaceae (OTU 52)	2.111111111111113	0.3479990407922549	2	Kruskal-Wallis rank sum test	0	0.001	0	0.5295846900380075
Butyricicoccus (OTU 56)	3.5277777777777812	0.17137709973548354	2	Kruskal-Wallis rank sum test	0	0	0.001	0.5295846900380075
Ruminococcaceae (OTU 59)	4.23529411764706	0.1203143884008992	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Ruminococcaceae (OTU 60)	2.092307692307693	0.351286255149297	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.5295846900380075
Lachnospiraceae (OTU 63)	2.7909040488075423	0.24772103510228963	2	Kruskal-Wallis rank sum test	0	0	0.001	0.5295846900380075
Lachnospiraceae (OTU 66)	2.2292568542568505	0.3280371459612474	2	Kruskal-Wallis rank sum test	0.001	0.001	0.003	0.5295846900380075
Lachnospiraceae (OTU 71)	2.1840277777777795	0.33554007239309597	2	Kruskal-Wallis rank sum test	0.001	5e-4	0.002	0.5295846900380075
Lachnospiraceae (OTU 72)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 73)	10.906164114644682	0.004283083617939001	2	Kruskal-Wallis rank sum test	5e-4	0	0.002	0.5295846900380075
Lachnospiraceae (OTU 75)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 76)	2.1319444444444375	0.3443928655545625	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Acetatifactor (OTU 78)	2.4285714285714293	0.29692202572789606	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Acetatifactor (OTU 79)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 80)	2.4289992952783686	0.296858510997415	2	Kruskal-Wallis rank sum test	0.006500000000000001	0.004	0.007	0.5295846900380075
Lachnospiraceae (OTU 83)	2.2666666666666626	0.3219582715376766	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 85)	4.23529411764706	0.1203143884008992	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 86)	2.092307692307693	0.351286255149297	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.5295846900380075
Lachnospiraceae (OTU 90)	7.4638503572929835	0.023946689775446086	2	Kruskal-Wallis rank sum test	5e-4	0	0.0015	0.5295846900380075
Ruminococcus (OTU 93)	8.764943160982773	0.01249443941445257	2	Kruskal-Wallis rank sum test	0.001	0.002	0	0.5295846900380075
Lachnospiraceae (OTU 95)	4.250000000000002	0.11943296826671951	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Firmicutes (OTU 96)	3.2820349084716867	0.19378277684649262	2	Kruskal-Wallis rank sum test	0	5e-4	0.001	0.5295846900380075
Clostridiales (OTU 97)	4.4055555555555586	0.11049579889710676	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.5295846900380075
Porphyromonadaceae (OTU 99)	5.957495590828926	0.05085647672299984	2	Kruskal-Wallis rank sum test	0.0035	0.006500000000000001	0.0015	0.5295846900380075
Clostridiales (OTU 107)	2.0289548022598862	0.3625918704292361	2	Kruskal-Wallis rank sum test	0.001	0.0075	0.0025	0.5295846900380075
Bacteria (OTU 108)	4.991452991452988	0.08243653983773705	2	Kruskal-Wallis rank sum test	0	0	0.001	0.5295846900380075
Lachnospiraceae (OTU 111)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 112)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 116)	2.3819444444444446	0.3039256371241333	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 117)	2.3360373647984223	0.3109824863426988	2	Kruskal-Wallis rank sum test	0	0	0.001	0.5295846900380075
Oscillibacter (OTU 119)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 120)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 121)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 122)	3.262949039264827	0.19564088501447666	2	Kruskal-Wallis rank sum test	0.001	0.001	0	0.5295846900380075
Lachnospiraceae (OTU 123)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 125)	2.2666666666666626	0.3219582715376766	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridium IV (OTU 126)	2.2666666666666626	0.3219582715376766	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Firmicutes (OTU 129)	2.2666666666666626	0.3219582715376766	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 130)	2.6326249508067705	0.2681221884282324	2	Kruskal-Wallis rank sum test	5e-4	0.0035	0	0.5295846900380075
Lachnospiraceae (OTU 133)	4.446619217081854	0.10825024936050684	2	Kruskal-Wallis rank sum test	0	0	0.002	0.5295846900380075
Dorea (OTU 134)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 135)	2.2666666666666626	0.3219582715376766	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 137)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Acetatifactor (OTU 138)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 141)	2.092307692307693	0.351286255149297	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.5295846900380075
Erysipelotrichaceae (OTU 142)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 148)	4.249999999999997	0.11943296826671977	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.5295846900380075
Lachnospiraceae (OTU 150)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 151)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 152)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 154)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Staphylococcus (OTU 156)	2.027777777777785	0.36280532298705	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 162)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 163)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 170)	2.390625000000001	0.30260937397538784	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 171)	4.250000000000002	0.11943296826671951	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 173)	2.521597392013044	0.2834275636111122	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 179)	4.250000000000002	0.11943296826671951	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 181)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 184)	4.249999999999997	0.11943296826671977	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.5295846900380075
Clostridium XlVa (OTU 186)	4.23529411764706	0.1203143884008992	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Firmicutes (OTU 188)	2.2666666666666626	0.3219582715376766	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 193)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 194)	2.2666666666666626	0.3219582715376766	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 195)	4.250000000000002	0.11943296826671951	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Acetatifactor (OTU 206)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Ruminococcaceae (OTU 207)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 208)	2.027777777777785	0.36280532298705	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Firmicutes (OTU 210)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Ruminococcaceae (OTU 219)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 220)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 222)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Bacteria (OTU 232)	2.2666666666666626	0.3219582715376766	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Firmicutes (OTU 235)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Pseudoflavonifractor (OTU 240)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 243)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 246)	4.250000000000002	0.11943296826671951	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Coriobacteriaceae (OTU 252)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 253)	2.2666666666666626	0.3219582715376766	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 254)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 258)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Akkermansia (OTU 264)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Parabacteroides (OTU 275)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 280)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Bacteroides (OTU 282)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Bacteria (OTU 283)	4.23529411764706	0.1203143884008992	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales_Incertae_Sedis_XIII (OTU 284)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 285)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 290)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Bacteria (OTU 291)	4.250000000000002	0.11943296826671951	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 292)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Turicibacter (OTU 299)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 303)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Ruminococcaceae (OTU 308)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 313)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 314)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 318)	6.750000000000006	0.03421811831166593	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.5295846900380075
Porphyromonadaceae (OTU 321)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridia (OTU 323)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 328)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 330)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 338)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Enterorhabdus (OTU 358)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Bacteroides (OTU 361)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 364)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Turicibacter (OTU 374)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 378)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 383)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 385)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 388)	4.250000000000002	0.11943296826671951	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 395)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Barnesiella (OTU 396)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 399)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 414)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 436)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Bacteroidetes (OTU 442)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Coriobacteriaceae (OTU 464)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 501)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lactobacillaceae (OTU 515)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 521)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 544)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 554)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 637)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 696)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 700)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 720)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 743)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 758)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Firmicutes (OTU 793)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Bacteria (OTU 818)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Firmicutes (OTU 865)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Turicibacter (OTU 900)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 931)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 947)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 1142)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 1224)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 1266)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 1284)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 1285)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 1287)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lactobacillus (OTU 1319)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 1380)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 1428)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 1493)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 1534)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Bacteroidales (OTU 1950)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 2018)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 2151)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 2184)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 2190)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Clostridiales (OTU 2322)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Anaeroplasma (OTU 3173)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 3352)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 3546)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Lachnospiraceae (OTU 3569)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 4370)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 4415)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 4427)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 4562)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Porphyromonadaceae (OTU 4844)	2.000000000000011	0.3678794411714403	2	Kruskal-Wallis rank sum test	0	0	0	0.5295846900380075
Ruminococcaceae (OTU 92)	1.9030555555555522	0.38615062023041447	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.5498449048933076
Ruminococcaceae (OTU 217)	1.9030555555555522	0.38615062023041447	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.5498449048933076
Alistipes (OTU 18)	1.8644972451790667	0.393667504730098	2	Kruskal-Wallis rank sum test	0.0675	0.1115	0.0935	0.5575183039961388
Oscillibacter (OTU 57)	1.8010810810810802	0.4063499517428453	2	Kruskal-Wallis rank sum test	0.0025	0.001	0.0015	0.5723854158958358
Porphyromonadaceae (OTU 25)	1.7734024179620038	0.412012657102879	2	Kruskal-Wallis rank sum test	0.0615	0.045	0.043	0.577258375192269
Lachnospiraceae (OTU 33)	1.7222222222222192	0.42269216334072923	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.585954215847995
Lachnospiraceae (OTU 41)	1.7222222222222192	0.42269216334072923	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.585954215847995
Oscillibacter (OTU 45)	1.6977058029689627	0.42790550029399366	2	Kruskal-Wallis rank sum test	0	0	0.001	0.5900591635632966
Lachnospiraceae (OTU 11)	1.6214355948869177	0.44453886281570437	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.6097862934958876
Lachnospiraceae (OTU 32)	1.5653104925053536	0.4571904449896318	2	Kruskal-Wallis rank sum test	0.001	0.0025	0.003	0.6238744613921017
Lachnospiraceae (OTU 74)	1.516300366300364	0.46853232487600543	2	Kruskal-Wallis rank sum test	0.0015	0.001	0.002	0.6360387000907431
Ruminococcaceae (OTU 27)	1.4992665933259965	0.4725398028959563	2	Kruskal-Wallis rank sum test	0.001	0.002	5e-4	0.6381723111275287
Clostridiales (OTU 35)	1.4270506108202416	0.4899140529475288	2	Kruskal-Wallis rank sum test	0.0045000000000000005	0.008	0.0035	0.6582434967807823
Lachnospiraceae (OTU 102)	1.4166666666666645	0.49246428767541023	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.6582940988314158
