otu	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Bifidobacterium (OTU 28)	18.557573256293846	9.338436470884147e-5	2	Kruskal-Wallis rank sum test	0.001	0.0095	0	0.007777033984604406
Lachnospiraceae (OTU 31)	19.152360515021464	6.936138499300762e-5	2	Kruskal-Wallis rank sum test	0	0.034	0	0.007777033984604406
Lachnospiraceae (OTU 32)	18.14234787953286	1.149315367182917e-4	2	Kruskal-Wallis rank sum test	0	0	0.004	0.007777033984604406
Bacteroides (OTU 1)	16.00500577589526	3.346240524022784e-4	2	Kruskal-Wallis rank sum test	0.613	0.0015	0.717	0.009795574237459154
Enterobacteriaceae (OTU 2)	15.842461538461535	3.6295533721995615e-4	2	Kruskal-Wallis rank sum test	0.1285	0.214	0.002	0.009795574237459154
Lactobacillus (OTU 9)	15.917377812257556	3.4961119019480614e-4	2	Kruskal-Wallis rank sum test	0.008	0.0335	0	0.009795574237459154
Lachnospiraceae (OTU 33)	15.719178082191787	3.8603248226440015e-4	2	Kruskal-Wallis rank sum test	0	0.0065	0	0.009795574237459154
Lachnospiraceae (OTU 111)	15.74074074074075	3.818928941912194e-4	2	Kruskal-Wallis rank sum test	0	0.005	0	0.009795574237459154
Ruminococcaceae (OTU 37)	14.586247544204305	6.801999410191985e-4	2	Kruskal-Wallis rank sum test	0	0.020499999999999997	0	0.015342287558544145
Lachnospiraceae (OTU 4)	12.92660781841111	0.0015596342985549111	2	Kruskal-Wallis rank sum test	0	0.0275	0.035	0.02110705084044313
Turicibacter (OTU 5)	13.565119937082184	0.0011333697904050075	2	Kruskal-Wallis rank sum test	0.0285	0	0.015	0.02110705084044313
Lachnospiraceae (OTU 20)	13.193269770050463	0.0013649535434523473	2	Kruskal-Wallis rank sum test	0	0	0.004	0.02110705084044313
Lachnospiraceae (OTU 74)	13.043478260869586	0.0014711084268870095	2	Kruskal-Wallis rank sum test	0	0	0.002	0.02110705084044313
Lachnospiraceae (OTU 113)	13.027744270205085	0.0014827272727940585	2	Kruskal-Wallis rank sum test	0	0	0.002	0.02110705084044313
Bacteroides (OTU 296)	13.090909090909113	0.0014366309200863723	2	Kruskal-Wallis rank sum test	0	0	0.001	0.02110705084044313
Erysipelotrichaceae (OTU 39)	12.497709611451945	0.0019326661476004197	2	Kruskal-Wallis rank sum test	0.002	0	0.003	0.024520701747680326
Peptostreptococcaceae (OTU 12)	11.985860575029523	0.0024963383331651277	2	Kruskal-Wallis rank sum test	0.0135	0.0815	0	0.02980921656661888
Lachnospiraceae (OTU 30)	10.697484662576695	0.004754126357084213	2	Kruskal-Wallis rank sum test	0	0	0.008	0.05361598058267196
Clostridium (OTU 22)	9.642224953902907	0.00805781801423245	2	Kruskal-Wallis rank sum test	0	0.0075	0	0.06577378867023952
Clostridium (OTU 51)	9.631728045325772	0.008100220279586148	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.06577378867023952
Ruminococcaceae (OTU 65)	9.887637362637388	0.007127329340176421	2	Kruskal-Wallis rank sum test	0	0.0015	0	0.06577378867023952
Lachnospiraceae (OTU 66)	9.712559017941429	0.007779373204818546	2	Kruskal-Wallis rank sum test	0	0	0.002	0.06577378867023952
Ruminococcaceae (OTU 98)	9.631728045325772	0.008100220279586148	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.06577378867023952
Ruminococcaceae (OTU 143)	9.997500000000027	0.006746374699049353	2	Kruskal-Wallis rank sum test	0	0.001	0	0.06577378867023952
Coriobacteriaceae (OTU 182)	9.714285714285706	0.007772659795603564	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.06577378867023952
Ruminococcaceae (OTU 52)	9.48330434782611	0.008724220342492452	2	Kruskal-Wallis rank sum test	0	0.0025	0.002	0.06811602805869107
Lachnospiraceae (OTU 36)	8.880952380952394	0.01179032274336639	2	Kruskal-Wallis rank sum test	0	0	0.001	0.08864575988531026
Lactobacillus (OTU 13)	8.665135782747598	0.013133778035168372	2	Kruskal-Wallis rank sum test	0.005	0	0.002	0.09256712589996886
Lachnospiraceae (OTU 42)	8.333333333333302	0.015503853599009562	2	Kruskal-Wallis rank sum test	0	0	0	0.09256712589996886
Lachnospiraceae (OTU 81)	8.333333333333302	0.015503853599009562	2	Kruskal-Wallis rank sum test	0	0	0	0.09256712589996886
Lachnospiraceae (OTU 83)	8.333333333333302	0.015503853599009562	2	Kruskal-Wallis rank sum test	0	0	0	0.09256712589996886
Lachnospiraceae (OTU 110)	8.333333333333302	0.015503853599009562	2	Kruskal-Wallis rank sum test	0	0	0	0.09256712589996886
Clostridiales (OTU 141)	8.347826086956493	0.015391912905854076	2	Kruskal-Wallis rank sum test	0	0	0	0.09256712589996886
Hungatella (OTU 427)	8.333333333333302	0.015503853599009562	2	Kruskal-Wallis rank sum test	0	0	0	0.09256712589996886
Lachnospiraceae (OTU 47)	7.948679245283011	0.018791707015911666	2	Kruskal-Wallis rank sum test	0	0	0.003	0.10596434789527968
Lachnospiraceae (OTU 75)	7.956185080264393	0.018721315459441938	2	Kruskal-Wallis rank sum test	0	0	0.001	0.10596434789527968
Lactobacillus (OTU 23)	7.685628261742265	0.021433200565722968	2	Kruskal-Wallis rank sum test	0.006500000000000001	0	0.001	0.11759296526599358
Lachnospiraceae (OTU 24)	7.550626678603397	0.022929904675845783	2	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0.006	0.12249396445254458
Butyricicoccus (OTU 56)	7.45967741935484	0.0239967059610393	2	Kruskal-Wallis rank sum test	0	5e-4	0.001	0.1249059310279738
Pseudoflavonifractor (OTU 69)	7.237730061349684	0.02681309126555518	2	Kruskal-Wallis rank sum test	0	0.001	0	0.13607643817269255
Ruminococcaceae (OTU 92)	6.92934782608697	0.03128320480834494	2	Kruskal-Wallis rank sum test	0	0	0	0.1476858273510238
Lachnospiraceae (OTU 144)	6.954545454545468	0.030891545921902946	2	Kruskal-Wallis rank sum test	0	0	0	0.1476858273510238
Ruminococcaceae (OTU 169)	6.92934782608697	0.03128320480834494	2	Kruskal-Wallis rank sum test	0	0	0	0.1476858273510238
Lachnospiraceae (OTU 11)	6.577696717040106	0.037296777188436755	2	Kruskal-Wallis rank sum test	0	5e-4	0.003	0.172073767483015
Lachnospiraceae (OTU 26)	5.042602823818285	0.0803549637656856	2	Kruskal-Wallis rank sum test	0	0	0.001	0.339173611074466
Porphyromonadaceae (OTU 44)	4.000000000000046	0.13533528323660957	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Lachnospiraceae (OTU 49)	5.07308781869691	0.07913944077312643	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Ruminococcaceae (OTU 61)	4.000000000000046	0.13533528323660957	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Lachnospiraceae (OTU 62)	4.000000000000046	0.13533528323660957	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Lachnospiraceae (OTU 63)	4.000000000000046	0.13533528323660957	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Lachnospiraceae (OTU 72)	4.550758620689684	0.10275792389858557	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Lachnospiraceae (OTU 82)	4.542020774315379	0.10320784750013826	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Lachnospiraceae (OTU 88)	5.110244286840019	0.07768274305189168	2	Kruskal-Wallis rank sum test	0	0	0.002	0.339173611074466
Lachnospiraceae (OTU 102)	4.000000000000046	0.13533528323660957	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Lachnospiraceae (OTU 116)	4.000000000000046	0.13533528323660957	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Oscillibacter (OTU 119)	4.000000000000046	0.13533528323660957	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Lachnospiraceae (OTU 120)	4.910292728989648	0.08585062903760218	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Lachnospiraceae (OTU 121)	5.13636363636364	0.07667482754278408	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
Clostridium (OTU 126)	4.434782608695633	0.10889280681490633	2	Kruskal-Wallis rank sum test	0	0	0	0.339173611074466
