genus	statistic	p.value	method	B	1	p.value.adj
Lactobacillales Unclassified	1.2857142857142771	0.2568392579578582	Kruskal-Wallis rank sum test	0	0	0.3228836385755932
Lactococcus	1.2857142857142771	0.2568392579578582	Kruskal-Wallis rank sum test	0	0	0.3228836385755932
Phascolarctobacterium	1.2857142857142771	0.2568392579578582	Kruskal-Wallis rank sum test	0	0	0.3228836385755932
Veillonella	1.2857142857142771	0.2568392579578582	Kruskal-Wallis rank sum test	0	0	0.3228836385755932
Barnesiella	0.7777777777777997	0.3778216371000571	Kruskal-Wallis rank sum test	0	0	0.42626030852314134
Clostridia Unclassified	0.7777777777777997	0.3778216371000571	Kruskal-Wallis rank sum test	0	0	0.42626030852314134
Clostridiales Incertae Sedis XIII Unclassified	0.7777777777777997	0.3778216371000571	Kruskal-Wallis rank sum test	0	0	0.42626030852314134
Lactobacillaceae Unclassified	0.7777777777777997	0.3778216371000571	Kruskal-Wallis rank sum test	0	0	0.42626030852314134
Lactobacillus	0.6990533264611534	0.4031019732011689	Kruskal-Wallis rank sum test	0.028999999999999998	0.0245	0.44341217052128584
Bifidobacterium	0.30602728550594605	0.5801282953202306	Kruskal-Wallis rank sum test	0.004	0.007	0.5936196510253522
Blautia	0.31542531542531993	0.5743699207573132	Kruskal-Wallis rank sum test	0	0	0.5936196510253522
Olsenella	0.31542531542531993	0.5743699207573132	Kruskal-Wallis rank sum test	0	0	0.5936196510253522
Parabacteroides	0.032804232804210666	0.8562738666404978	Kruskal-Wallis rank sum test	0	0	0.8562738666404978
Acetitomaculum	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Acetobacteraceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Acidaminococcaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Acidaminococcus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Actinobacillus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Actinomyces	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Actinomycetales Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Aerococcus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Aestuariispira	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Alloprevotella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Alphaproteobacteria Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Anaerofustis	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Anaerotruncus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Atopobium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Atopostipes	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Aurantimonadaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Bacillaceae 1 Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Bacillales Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Bacilli Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Betaproteobacteria Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Bifidobacteriaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Bilophila	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Brachybacterium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Bradyrhizobium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Brucellaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Burkholderia	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Burkholderiales Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Butyricimonas	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Butyrivibrio	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Carnobacteriaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Catonella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Chitinophagaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Cloacibacillus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Cloacibacterium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Clostridiaceae 1 Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Clostridium sensu stricto	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Clostridium XI	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Clostridium XVIII	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Collinsella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Comamonadaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Corynebacterium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Curvibacter	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Cystobacter	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Desulfovibrio	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Devosia	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Dialister	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Dysgonomonas	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Enterococcus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Escherichia/Shigella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Eubacterium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Faecalibacterium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Finegoldia	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Flavobacteriaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Flavobacterium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Flavonifractor	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Fusicatenibacter	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Fusobacteriaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Fusobacterium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Gemella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Gemmata	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Geobacillus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Granulicatella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Hungatella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Hyphomicrobium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Janthinobacterium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Jeotgalicoccus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Leptotrichia	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Listeria	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Lysobacter	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Mannheimia	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Marmoricola	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Megasphaera	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Methylobacterium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Morganella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Mucispirillum	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Neisseria	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Neisseriaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Odoribacter	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Paraprevotella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Parasutterella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Parvimonas	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Pasteurellaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Pectinatus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Peptoniphilus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Peptostreptococcus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Phenylobacterium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Phocaeicola	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Phyllobacteriaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Phyllobacterium	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Porphyromonas	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Prevotella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Proteobacteria Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Proteus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Pseudomonas	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Pyramidobacter	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Ralstonia	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Romboutsia	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Roseburia	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Rothia	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Ruminococcus2	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Senegalimassilia	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Sphingomonas	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Stenotrophomonas	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Stomatobaculum	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Streptococcus	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Subdoligranulum	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Succiniclasticum	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Succinivibrio	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Sutterella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Terrisporobacter	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Veillonellaceae Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Verrucomicrobia Unclassified	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
Weissella	NA	NA	Kruskal-Wallis rank sum test	0	0	NA
