otu	statistic	p.value	parameter	method	WM	WMR	WMC	p.value.adj
Lachnospiraceae (OTU 184)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 185)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridium (OTU 186)	2.0820563519525286	0.35309145510865125	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Firmicutes (OTU 188)	0.9285714285714571	0.6285839333986162	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 189)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 190)	2.1224489795918196	0.34603183835322876	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Veillonella (OTU 192)	1.3965714285714417	0.49743732297712157	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 196)	1.2816065723414027	0.526869027407997	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Firmicutes (OTU 198)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 199)	0.9285714285714571	0.6285839333986162	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 203)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Coriobacteriaceae (OTU 204)	1.2919254658385155	0.5241576752707617	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Acetatifactor (OTU 206)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 208)	1.6770186335403336	0.43235454696478104	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Firmicutes (OTU 210)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 212)	1.6770186335403336	0.43235454696478104	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 214)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 216)	0.9257142857143138	0.629482552164049	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 219)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 220)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 222)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 223)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 224)	0.9257142857143138	0.629482552164049	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 226)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Dorea (OTU 229)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 232)	1.2919254658385155	0.5241576752707617	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Pseudoflavonifractor (OTU 240)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 243)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Parabacteroides (OTU 245)	1.3965714285714417	0.49743732297712157	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 246)	1.2919254658385155	0.5241576752707617	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Acetatifactor (OTU 247)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 248)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Akkermansia (OTU 250)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 251)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 253)	0.5934065934065272	0.7432645086794025	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 258)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
