otu	statistic	p.value	parameter	method	WM	C	WMC	p.value.adj
Lachnospiraceae (OTU 30)	63.26615260995059	1.8278035442636966e-14	2	Kruskal-Wallis rank sum test	0	0.006	0	3.0798489720843288e-12
Acetatifactor (OTU 79)	64.25475045848877	1.1149572603717494e-14	2	Kruskal-Wallis rank sum test	0	0.006	0	3.0798489720843288e-12
Acetatifactor (OTU 78)	62.36767938293081	2.864379108003592e-14	2	Kruskal-Wallis rank sum test	0	0.004	0	3.217652531324035e-12
Oscillibacter (OTU 45)	61.16640491597939	5.22256595786724e-14	2	Kruskal-Wallis rank sum test	0	0.009	0	4.40001181950315e-12
Lachnospiraceae (OTU 33)	60.3547461430335	7.836703158315507e-14	2	Kruskal-Wallis rank sum test	0	0.013	0	4.708415315168945e-12
Ruminococcaceae (OTU 50)	60.219986353537536	8.382935279232544e-14	2	Kruskal-Wallis rank sum test	0	0.008	0	4.708415315168945e-12
Ruminococcaceae (OTU 52)	57.93197687373006	2.631667753592777e-13	2	Kruskal-Wallis rank sum test	0	0.004	0	1.2669600470868084e-11
Ruminococcaceae (OTU 27)	57.06623737784415	4.05717743992428e-13	2	Kruskal-Wallis rank sum test	0	0.016	0	1.4788497724520496e-11
Lachnospiraceae (OTU 31)	57.33936898488484	3.539274336631e-13	2	Kruskal-Wallis rank sum test	0	0.017	0	1.4788497724520496e-11
Ruminococcaceae (OTU 92)	56.909338510907965	4.388278256534271e-13	2	Kruskal-Wallis rank sum test	0	0.005	0	1.4788497724520496e-11
Lachnospiraceae (OTU 41)	56.26363037904274	6.060492209067384e-13	2	Kruskal-Wallis rank sum test	0	0.013	0	1.8567144313233713e-11
Ruminococcaceae (OTU 59)	55.91930421405429	7.199086204281341e-13	2	Kruskal-Wallis rank sum test	0	0.005	0	2.021743375702343e-11
Ruminococcaceae (OTU 54)	55.304009843019855	9.792348225796982e-13	2	Kruskal-Wallis rank sum test	0	0.005	0	2.53847796314891e-11
Lachnospiraceae (OTU 73)	54.195137195266774	1.704808040696042e-12	2	Kruskal-Wallis rank sum test	0	0.005	0	4.103716497961187e-11
Pseudoflavonifractor (OTU 69)	52.14842526818369	4.74365759110788e-12	2	Kruskal-Wallis rank sum test	0	0.005	0	1.0657417388022368e-10
Peptostreptococcaceae (OTU 12)	49.10987097700845	2.1673398379800335e-11	2	Kruskal-Wallis rank sum test	0.023	0	0.043	4.5649595337454455e-10
Blautia (OTU 19)	48.447220882082625	3.018697907312949e-11	2	Kruskal-Wallis rank sum test	0.054	0	0.065	5.984124675085082e-10
Ruminococcaceae (OTU 60)	47.91555488309581	3.9379432978143626e-11	2	Kruskal-Wallis rank sum test	0	0.003	0	7.372704952019112e-10
Lachnospiraceae (OTU 34)	46.83015843061135	6.775795708570693e-11	2	Kruskal-Wallis rank sum test	0	0.034	0	1.2018121862043809e-9
Enterobacteriaceae (OTU 2)	46.15924498781644	9.47648558854837e-11	2	Kruskal-Wallis rank sum test	0.256	0.002	0.246	1.5967878216704005e-9
Lachnospiraceae (OTU 66)	45.955044149139056	1.0495157374674431e-10	2	Kruskal-Wallis rank sum test	0	0.003	0	1.6842228739358492e-9
Lachnospiraceae (OTU 4)	45.501579704151524	1.3166110882057602e-10	2	Kruskal-Wallis rank sum test	0.002	0.098	0	2.0168088032970052e-9
Lachnospiraceae (OTU 17)	43.68696069031642	3.2620981243389456e-10	2	Kruskal-Wallis rank sum test	0	0.013	0	4.779682903922716e-9
Ruminococcaceae (OTU 101)	43.470266136184286	3.635395330882289e-10	2	Kruskal-Wallis rank sum test	0	0.002	0	5.104700943780548e-9
Lachnospiraceae (OTU 102)	42.54304548208012	5.779563662399724e-10	2	Kruskal-Wallis rank sum test	0	0.001	0	7.790851816914827e-9
Lachnospiraceae (OTU 85)	41.8825335412802	8.041246908600589e-10	2	Kruskal-Wallis rank sum test	0	0.013	0	1.0422693108455379e-8
Oscillibacter (OTU 57)	41.7474952201393	8.602934103264797e-10	2	Kruskal-Wallis rank sum test	0	0.004	0	1.0501907998670588e-8
