genus	method	WM	C	WMR	CWM	RM	FRM	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM
Acetatifactor	Kruskal-Wallis rank sum test	0	0.012	0.0015	0.0035	0.0015	0	0.0034473378249968746	0.07799487857928201	0.0034473378249968746	0.03543339706144748	0.009900510076120913	0.5705511854795036	0.1190504303481498	0.0013001109978819615	0.5108371344477785	0.2339716682245055	0.5108371344477785	0.0034473378249968746	0.23664614562757905	0.07885935683257246	0.3366891752727257
Akkermansia	Kruskal-Wallis rank sum test	0.28049999999999997	0.006	0.15	0.167	0.0715	0.049	0.01874296786905923	0.04902609836527197	0.12108894114245107	0.05185745820780595	0.01874296786905923	0.5459270587240115	0.04902609836527197	0.01874296786905923	0.8431467657923879	0.0780905634480157	0.01874296786905923	0.0780905634480157	0.48149621891947947	0.05185745820780595	0.5043259907513301
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0	0.017499999999999998	0.21920697968497813	0.24527811680677283	NA	0.21920697968497813	NA	NA	0.21920697968497813	NA	NA	NA	0.006596185662069372	2.1988372124564744e-4	5.315172191852166e-4	2.2457232338053562e-4	2.2457232338053562e-4
Bacteroides	Kruskal-Wallis rank sum test	0.3795	0.224	0.389	0.4765	0.584	0.27849999999999997	0.06038467523820331	0.6023440844869417	0.04122960189523523	0.5563604899424186	0.06038467523820331	0.9736918638990016	0.09918390433096316	0.015688727193322243	0.23899011205512755	0.12195919388354999	0.06038467523820331	0.5563604899424186	0.04122960189523523	0.38345313058422353	0.06038467523820331
Butyricicoccus	Kruskal-Wallis rank sum test	0	0.001	0.003	0	5e-4	0	0.5617510260000375	0.21622242240061706	0.1903918262555903	0.28385078531073576	0.004889803369574488	0.004889803369574488	0.7152498712746418	0.8304698188115214	0.3139739062751716	0.0640738322486052	0.575745773380964	0.05649892495345403	0.05649892495345403	0.7152498712746418	0.25374668970151726
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.001	0.017	0.004	0	5e-4	0.0015	0.018044661088256694	0.6176715041161129	0.00770703175678526	0.6418176643046823	0.001495536573513662	0.19403390547319568	0.4794733596402585	2.4347570413886434e-4	0.009417596545938217	0.8565284166449176	0.7810641219477452	0.0047005766845848495	0.23212427246977116	0.9180034203725403	0.6418176643046823
Coriobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.10400773163305546	NA	0.05906081392186948	0.18351767347757708	0.7859679172117502	0.09502424216722583	NA	0.049642556736205615	NA	0.0726008140567711	0.05906081392186948	0.39948163458348673	0.02930437806328553	0.3734422225011915	0.02729300705197832
Erysipelotrichaceae Unclassified	Kruskal-Wallis rank sum test	0.01	5e-4	0.0075	0.001	5e-4	0	0.005133906221292533	0.7973081627485908	0.03316738470416649	0.03316738470416649	0.36232295577976564	0.1667797582625042	0.005133906221292533	1	0.03316738470416649	0.36232295577976564	0.018004575333937116	0.22261618723540005	0.03316738470416649	0.14911988667635376	0.22261618723540005
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0	0.005	0	0	0	0	0.005812283648290227	0.9361862934730594	7.735798588840647e-4	0.3247510810147824	2.3636994016250666e-4	0.27467745745509425	0.7152498712746418	2.3636994016250666e-4	0.6081799117679285	0.5389760074943561	0.6081799117679285	0.12145732730839606	0.6081799117679285	0.12145732730839606	0.3247510810147824
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.1405	0.269	0.16	0.238	0.1005	0.066	0.011609907120743035	0.5147918643866448	0.01162589242263314	0.2695539754363284	0.4319958327392809	0.19840538490512993	0.6164619694031459	0.01162589242263314	0.4319958327392809	0.21281686411582765	0.2695539754363284	0.009207108125053596	0.06462491556803007	0.0389181147347971	0.32893665413025797
Oscillibacter	Kruskal-Wallis rank sum test	5e-4	0.006500000000000001	0.001	0	0	5e-4	0.03841566818562733	0.7029965732149908	0.3790956563062731	0.9656198464314903	0.006482360539592797	0.5238271568500691	0.09862082854574167	1.1816026864739404e-4	0.06993635445484997	0.099114350695696	0.998310714639272	0.016519624398688346	0.7029965732149908	1	0.09862082854574167
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.004	0	0	0.001	0	0	3.5105630056387157e-4	0.015460876567822579	0.028090457848647252	0.15769551115165276	0.015460876567822579	0.3809766816478042	0.015460876567822579	0.024722020278529818	0.8528594566574111	0.4610525266784522	0.015460876567822579	0.23410389514746532	0.3809766816478042	0.20362630398987755	0.32831775268292296
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.0935	0.263	5e-4	5e-4	0.0725	0.5075000000000001	0.13594487366297398	0.7042898237015516	0.037784083143202675	0.13594487366297398	2.2396576986129498e-4	0.5704269210557099	0.889857160843786	0.019583333156420663	0.889857160843786	0.14552267651645534	0.012495311912706154	0.004470049712250891	0.004360626400439204	0.0039008976767836326	0.0039008976767836326
Pseudoflavonifractor	Kruskal-Wallis rank sum test	0.0025	0.001	0.001	0	0	0	0.801297497982413	0.7182919644930497	0.27343076360834	0.2733821892172021	0.12338782784427407	0.26362541565679404	0.26362541565679404	0.12654777241669443	0.26362541565679404	0.8985760707969435	0.27343076360834	0.12934618479587318	0.26362541565679404	0.8601177058552174	0.9425378416084825
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.0055	0.036500000000000005	0.014	0.0125	0.004	0.002	0.016997688192073993	0.5513165526717341	0.17277813135933057	0.46668740222091837	0.018919335594391892	0.8428397317102093	0.5513165526717341	0.0042537308282744	0.37253582118719214	0.2593093127370249	0.23662537679550194	0.004603554062526798	0.17277813135933057	0.10329722211949305	0.37253582118719214
Unclassified	Kruskal-Wallis rank sum test	0	0.009000000000000001	0	0	0	0.002	0.001552732644629387	0.5186050164287257	1.156198160104959e-4	NA	3.654220378377622e-5	0.34396631136190414	NA	3.654220378377622e-5	0.34396631136190414	NA	0.0986799599816463	0.025081214409201198	0.09594759314192494	0.02328375174322323	0.02328375174322323
