Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Muribaculum intestinale strain YL27 16S ribosomal RNA, partial sequence",Muribaculum intestinale,300,300,100%,3e-81,88.14,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144616.1?report=genbank&log$=nucltop&blast_rank=1&RID=44RT4XA6013"",""NR_144616.1"")"
"Barnesiella viscericola strain C46 16S ribosomal RNA, complete sequence",Barnesiella viscericola,263,263,100%,4e-70,85.55,1532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_121773.2?report=genbank&log$=nucltop&blast_rank=2&RID=44RT4XA6013"",""NR_121773.2"")"
"Barnesiella viscericola strain C46 16S ribosomal RNA, partial sequence",Barnesiella viscericola,261,261,100%,1e-69,85.55,1461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041508.1?report=genbank&log$=nucltop&blast_rank=3&RID=44RT4XA6013"",""NR_041508.1"")"
"Porphyromonas pogonae strain MI 10-1288 16S ribosomal RNA, partial sequence",Porphyromonas pogonae,257,257,100%,2e-68,85.27,1429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136443.1?report=genbank&log$=nucltop&blast_rank=4&RID=44RT4XA6013"",""NR_136443.1"")"
"Barnesiella intestinihominis strain JCM 15079 16S ribosomal RNA, partial sequence",Barnesiella intestinihominis,257,257,100%,2e-68,85.10,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113073.1?report=genbank&log$=nucltop&blast_rank=5&RID=44RT4XA6013"",""NR_113073.1"")"
"Barnesiella intestinihominis YIT 11860 16S ribosomal RNA, partial sequence",Barnesiella intestinihominis YIT 11860,257,257,100%,2e-68,85.10,1484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041668.1?report=genbank&log$=nucltop&blast_rank=6&RID=44RT4XA6013"",""NR_041668.1"")"
"Duncaniella freteri strain TLL-A3 16S ribosomal RNA, partial sequence",Duncaniella freteri,255,255,100%,6e-68,85.10,1538,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_170509.1?report=genbank&log$=nucltop&blast_rank=7&RID=44RT4XA6013"",""NR_170509.1"")"
"Falsiporphyromonas endometrii strain LMM 40 16S ribosomal RNA, partial sequence",Falsiporphyromonas endometrii,252,252,100%,8e-67,84.71,1459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_133742.1?report=genbank&log$=nucltop&blast_rank=8&RID=44RT4XA6013"",""NR_133742.1"")"
"Porphyromonas crevioricanis strain NUM 402 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,252,252,100%,8e-67,84.65,1454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104834.1?report=genbank&log$=nucltop&blast_rank=9&RID=44RT4XA6013"",""NR_104834.1"")"
"Porphyromonas crevioricanis strain ATCC 55563 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,252,252,100%,8e-67,84.65,1261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115856.1?report=genbank&log$=nucltop&blast_rank=10&RID=44RT4XA6013"",""NR_115856.1"")"
"Porphyromonas crevioricanis strain VPB 4875 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,252,252,100%,8e-67,84.65,1483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026137.1?report=genbank&log$=nucltop&blast_rank=11&RID=44RT4XA6013"",""NR_026137.1"")"
"Porphyromonas crevioricanis strain JCM 15906 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,252,252,100%,8e-67,84.65,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113084.1?report=genbank&log$=nucltop&blast_rank=12&RID=44RT4XA6013"",""NR_113084.1"")"
"Porphyromonas crevioricanis strain JCM 13913 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,252,252,100%,8e-67,84.65,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113081.1?report=genbank&log$=nucltop&blast_rank=13&RID=44RT4XA6013"",""NR_113081.1"")"
"Porphyromonas crevioricanis strain ATCC 55563 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,246,246,100%,4e-65,84.31,1430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112783.1?report=genbank&log$=nucltop&blast_rank=14&RID=44RT4XA6013"",""NR_112783.1"")"
"Porphyromonas bennonis strain WAL 1926C 16S ribosomal RNA, partial sequence",Porphyromonas bennonis,241,241,100%,2e-63,83.92,1489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_044491.1?report=genbank&log$=nucltop&blast_rank=15&RID=44RT4XA6013"",""NR_044491.1"")"
"Parapedobacter lycopersici strain T16R-256 16S ribosomal RNA, partial sequence",Parapedobacter lycopersici,235,235,100%,8e-62,83.72,1476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_158085.1?report=genbank&log$=nucltop&blast_rank=16&RID=44RT4XA6013"",""NR_158085.1"")"
"Rufibacter glacialis strain MDT1-10-3 16S ribosomal RNA, partial sequence",Rufibacter glacialis,235,235,100%,8e-62,83.72,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_147754.1?report=genbank&log$=nucltop&blast_rank=17&RID=44RT4XA6013"",""NR_147754.1"")"
"Porphyromonas gingivicanis strain NUM 301 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,235,235,100%,8e-62,83.66,1457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104833.1?report=genbank&log$=nucltop&blast_rank=18&RID=44RT4XA6013"",""NR_104833.1"")"
"Porphyromonas somerae DSM 23386 16S ribosomal RNA, partial sequence",Porphyromonas somerae DSM 23386,235,235,100%,8e-62,83.66,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_043312.1?report=genbank&log$=nucltop&blast_rank=19&RID=44RT4XA6013"",""NR_043312.1"")"
"Porphyromonas gingivicanis strain ATCC 55562 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,235,235,100%,8e-62,83.66,1228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115855.1?report=genbank&log$=nucltop&blast_rank=20&RID=44RT4XA6013"",""NR_115855.1"")"
"Porphyromonas bennonis strain JCM 16335 16S ribosomal RNA, partial sequence",Porphyromonas bennonis,235,235,100%,8e-62,83.53,1498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113228.1?report=genbank&log$=nucltop&blast_rank=21&RID=44RT4XA6013"",""NR_113228.1"")"
"Porphyromonas somerae DSM 23386 strain JCM 13867 16S ribosomal RNA, partial sequence",Porphyromonas somerae DSM 23386,235,235,100%,8e-62,83.66,1486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113090.1?report=genbank&log$=nucltop&blast_rank=22&RID=44RT4XA6013"",""NR_113090.1"")"
"Porphyromonas gingivicanis strain JCM 15907 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,235,235,100%,8e-62,83.66,1494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113087.1?report=genbank&log$=nucltop&blast_rank=23&RID=44RT4XA6013"",""NR_113087.1"")"
"Porphyromonas gingivicanis strain ATCC 55562 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,235,235,100%,8e-62,83.66,1423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112782.1?report=genbank&log$=nucltop&blast_rank=24&RID=44RT4XA6013"",""NR_112782.1"")"
"Millionella massiliensis strain Marseille-P3215 16S ribosomal RNA, partial sequence",Millionella massiliensis,230,230,100%,4e-60,83.20,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_147368.1?report=genbank&log$=nucltop&blast_rank=25&RID=44RT4XA6013"",""NR_147368.1"")"
"Coprobacter secundus strain 177 16S ribosomal RNA, partial sequence",Coprobacter secundus,230,230,100%,4e-60,83.20,1290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_145883.1?report=genbank&log$=nucltop&blast_rank=26&RID=44RT4XA6013"",""NR_145883.1"")"
"Gabonia massiliensis strain GM3 16S ribosomal RNA, partial sequence",Gabonia massiliensis,230,230,100%,4e-60,83.20,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_144725.1?report=genbank&log$=nucltop&blast_rank=27&RID=44RT4XA6013"",""NR_144725.1"")"
"Porphyromonas pasteri strain KUFDS01 16S ribosomal RNA, partial sequence",Porphyromonas pasteri,230,230,100%,4e-60,83.14,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136788.1?report=genbank&log$=nucltop&blast_rank=28&RID=44RT4XA6013"",""NR_136788.1"")"
"Porphyromonas levii DSM 23370 strain JCM 13866 16S ribosomal RNA, partial sequence",Porphyromonas levii DSM 23370,230,230,100%,4e-60,83.07,1495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113089.1?report=genbank&log$=nucltop&blast_rank=29&RID=44RT4XA6013"",""NR_113089.1"")"
"Porphyromonas cangingivalis strain JCM 15983 16S ribosomal RNA, partial sequence",Porphyromonas cangingivalis,230,230,100%,4e-60,83.27,1493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113080.1?report=genbank&log$=nucltop&blast_rank=30&RID=44RT4XA6013"",""NR_113080.1"")"
"Porphyromonas levii DSM 23370 strain ATCC 29147 16S ribosomal RNA, partial sequence",Porphyromonas levii DSM 23370,230,230,100%,4e-60,83.07,1375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_116810.1?report=genbank&log$=nucltop&blast_rank=31&RID=44RT4XA6013"",""NR_116810.1"")"
